metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Stock Price (Rs),324.52,315.7,693.08,1068.65,990.75,791.65,1688.5,2136.2,1951.45,2317.35,2554.8,2083.0
EPS in Rs,24.45,23.06,37.08,38.06,40.02,49.64,60.91,74.25,54.7,76.12,85.61,64.3
Equity Capital (Rs Cr),19.0,19.0,19.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
Face Value (Rs),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Shares Outstanding,95000000.0,95000000.0,95000000.0,195000000.0,195000000.0,195000000.0,195000000.0,195000000.0,195000000.0,195000000.0,195000000.0,195000000.0
Market Cap (Rs Cr),3082.94,2999.15,6584.26,20838.68,19319.62,15437.17,32925.75,41655.9,38053.28,45188.32,49818.6,40618.5
P/E ratio,13.27,13.69,18.69,28.08,24.76,15.95,27.72,28.77,35.68,30.44,29.84,32.4
