metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Stock Price (Rs),32.88,19.35,41.7,59.38,42.58,22.9,37.08,45.05,72.95,216.35,270.09,183.12
EPS in Rs,-0.25,-0.66,1.78,2.79,13.29,8.67,4.99,6.44,10.07,26.22,27.18,15.22
Equity Capital (Rs Cr),58.0,61.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
Face Value (Rs),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Shares Outstanding,580000000.0,610000000.0,640000000.0,640000000.0,640000000.0,640000000.0,640000000.0,640000000.0,640000000.0,640000000.0,640000000.0,640000000.0
Market Cap (Rs Cr),1907.04,1180.35,2668.8,3800.32,2725.12,1465.6,2373.12,2883.2,4668.8,13846.4,17285.76,11719.68
P/E ratio,-131.52,-29.32,23.43,21.28,3.2,2.64,7.43,7.0,7.24,8.25,9.94,12.03
