metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Stock Price (Rs),1590.81,1918.06,2558.75,2837.26,2089.9,1309.59,2603.95,2457.15,2948.85,4019.3,5347.7,6586.0
EPS in Rs,,,49.27,61.27,71.89,80.75,66.91,49.28,61.32,106.55,146.13,172.69
Equity Capital (Rs Cr),,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
Face Value (Rs),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Shares Outstanding,,270000000.0,270000000.0,270000000.0,270000000.0,270000000.0,270000000.0,270000000.0,270000000.0,270000000.0,270000000.0,270000000.0
Market Cap (Rs Cr),,51787.62,69086.25,76606.02,56427.3,35358.93,70306.65,66343.05,79618.95,108521.1,144387.9,177822.0
P/E ratio,,,51.93,46.31,29.07,16.22,38.92,49.86,48.09,37.72,36.6,38.14
