metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Stock Price (Rs),345.85,355.0,505.2,549.9,536.5,283.15,545.75,464.0,403.85,782.45,1134.15,749.0
EPS in Rs,11.98,4.78,7.63,10.05,17.53,16.46,9.94,19.42,28.96,1.78,29.14,36.83
Equity Capital (Rs Cr),34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
Face Value (Rs),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Shares Outstanding,340000000.0,340000000.0,340000000.0,340000000.0,340000000.0,340000000.0,340000000.0,340000000.0,340000000.0,340000000.0,340000000.0,340000000.0
Market Cap (Rs Cr),11758.9,12070.0,17176.8,18696.6,18241.0,9627.1,18555.5,15776.0,13730.9,26603.3,38561.1,25466.0
P/E ratio,28.87,74.27,66.21,54.72,30.6,17.2,54.9,23.89,13.95,439.58,38.92,20.34
