metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Stock Price (Rs),,,,,,,,,,,424.85,448.85
EPS in Rs,,,,,64.37,47.99,8.62,11.27,13.8,18.99,21.14,25.15
Equity Capital (Rs Cr),,,,,25.0,39.0,395.0,395.0,395.0,395.0,431.0,436.0
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Shares Outstanding,,,,,25000000.0,39000000.0,395000000.0,395000000.0,395000000.0,395000000.0,431000000.0,436000000.0
Market Cap (Rs Cr),,,,,,,,,,,18311.03,19569.86
P/E ratio,,,,,,,,,,,20.1,17.85
