metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,20.0,20.0,17.0,24.0,14.0,24.0,24.0,35.0,12.0
Inventory Days,28.0,28.0,22.0,11.0,12.0,26.0,,,
Days Payable,565.0,298.0,178.0,112.0,101.0,36.0,,,
Cash Conversion Cycle,20.0,20.0,17.0,-513.0,-257.0,-132.0,-77.0,-54.0,2.0
Working Capital Days,-43.0,-31.0,-20.0,96.0,316.0,200.0,41.0,45.0,57.0
ROCE %,-115.0,-135.0,-12.0,-13.0,-6.0,1.0,3.0,3.0,
