metric,Mar 2021,Mar 2024,Mar 2025,Mar 2026
Debtor Days,62.0,102.0,134.0,103.0
Inventory Days,100.0,184.0,450.0,173.0
Days Payable,73.0,1.0,13.0,75.0
Cash Conversion Cycle,89.0,285.0,570.0,200.0
Working Capital Days,200.0,123.0,210.0,119.0
ROCE %,17.0,33.0,,
