metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,66.0,105.0,149.0,98.0,57.0,68.0,98.0,104.0
Inventory Days,393.0,587.0,888.0,551.0,543.0,469.0,378.0,453.0
Days Payable,168.0,255.0,406.0,257.0,273.0,201.0,172.0,198.0
Cash Conversion Cycle,292.0,437.0,632.0,392.0,327.0,336.0,304.0,359.0
Working Capital Days,4.0,-34.0,-63.0,-67.0,-48.0,181.0,203.0,234.0
ROCE %,-2.0,-0.0,5.0,8.0,21.0,24.0,21.0,
