metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,73.0,36.0,34.0,16.0,14.0,29.0,30.0,16.0
Inventory Days,1176.0,409.0,602.0,,,,,
Days Payable,354.0,145.0,378.0,,,,,
Cash Conversion Cycle,894.0,36.0,298.0,239.0,14.0,29.0,30.0,16.0
Working Capital Days,69.0,-96.0,18.0,-19.0,-29.0,35.0,56.0,-28.0
ROCE %,-18.0,6.0,18.0,18.0,18.0,24.0,42.0,
