metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,22.0,26.0,70.0,63.0,78.0,56.0,94.0,72.0,97.0,74.0,75.0
Inventory Days,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Days Payable,,,,,,,,,,,
Cash Conversion Cycle,22.0,26.0,70.0,63.0,78.0,56.0,94.0,72.0,97.0,74.0,75.0
Working Capital Days,-130.0,-26.0,-93.0,-36.0,-22.0,-17.0,-6.0,11.0,29.0,7.0,41.0
ROCE %,76.0,32.0,28.0,29.0,33.0,17.0,22.0,21.0,18.0,17.0,
