metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,14.0,13.0,17.0,15.0,16.0,14.0,13.0
Inventory Days,22.0,26.0,27.0,21.0,20.0,25.0,25.0
Days Payable,8.0,20.0,16.0,14.0,14.0,16.0,14.0
Cash Conversion Cycle,27.0,20.0,28.0,21.0,22.0,23.0,24.0
Working Capital Days,7.0,-4.0,14.0,19.0,16.0,29.0,21.0
ROCE %,19.0,13.0,18.0,29.0,18.0,20.0,
