metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,50.0,75.0,82.0,2.0
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,50.0,75.0,82.0,2.0
Working Capital Days,-193.0,-738.0,-1780.0,215.0
ROCE %,-108.0,-279.0,164.0,
