metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,73.0,80.0,88.0,140.0,115.0,100.0,116.0,123.0,131.0
Inventory Days,170.0,82.0,182.0,151.0,233.0,238.0,122.0,122.0,
Days Payable,310.0,327.0,622.0,584.0,708.0,755.0,535.0,549.0,
Cash Conversion Cycle,73.0,-60.0,-156.0,-300.0,-318.0,-374.0,-401.0,-291.0,-296.0
Working Capital Days,66.0,62.0,46.0,45.0,59.0,60.0,60.0,50.0,117.0
ROCE %,22.0,25.0,27.0,28.0,30.0,27.0,24.0,18.0,
