metric,Mar 2025,Mar 2026
Debtor Days,3.0,32.0
Inventory Days,70.0,142.0
Days Payable,66.0,63.0
Cash Conversion Cycle,7.0,111.0
Working Capital Days,-5.0,69.0
ROCE %,63.0,
