metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,14.0,10.0,15.0,13.0,11.0,14.0,13.0,12.0
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,14.0,10.0,15.0,13.0,11.0,14.0,13.0,12.0
Working Capital Days,-58.0,-34.0,-16.0,26.0,117.0,202.0,111.0,121.0
ROCE %,48.0,24.0,49.0,51.0,51.0,56.0,59.0,
