metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,12.0,26.0,30.0,28.0,31.0,35.0,42.0
Inventory Days,80.0,99.0,75.0,69.0,59.0,67.0,63.0
Days Payable,76.0,125.0,80.0,80.0,73.0,74.0,75.0
Cash Conversion Cycle,16.0,-0.0,24.0,17.0,17.0,28.0,30.0
Working Capital Days,11.0,-1.0,12.0,4.0,4.0,14.0,16.0
ROCE %,35.0,27.0,36.0,47.0,57.0,32.0,
