metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,71.0,93.0,91.0,79.0,91.0,82.0,71.0,61.0
Inventory Days,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Days Payable,312.0,,,,,,,
Cash Conversion Cycle,-241.0,93.0,91.0,79.0,91.0,82.0,71.0,61.0
Working Capital Days,55.0,61.0,-12.0,-12.0,66.0,56.0,34.0,86.0
ROCE %,22.0,15.0,25.0,28.0,28.0,26.0,21.0,
