metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,43.0,46.0,38.0,42.0,40.0,38.0,36.0
Inventory Days,,,,,,,
Days Payable,,,,,,,
Cash Conversion Cycle,43.0,46.0,38.0,42.0,40.0,38.0,36.0
Working Capital Days,-11.0,-13.0,-5.0,-4.0,-2.0,-1.0,614.0
ROCE %,23.0,32.0,33.0,48.0,48.0,40.0,
