metric,Mar 2014,Mar 2015,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,14.0,11.0,4.0,4.0,4.0,4.0,5.0,10.0
Inventory Days,81.0,103.0,166.0,170.0,201.0,202.0,220.0,286.0
Days Payable,2.0,4.0,10.0,14.0,17.0,17.0,10.0,37.0
Cash Conversion Cycle,94.0,111.0,160.0,160.0,188.0,189.0,214.0,259.0
Working Capital Days,66.0,88.0,44.0,30.0,29.0,43.0,66.0,76.0
ROCE %,18.0,18.0,15.0,14.0,10.0,21.0,,
