metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,96.0,80.0,90.0,107.0,83.0
Inventory Days,32.0,26.0,27.0,31.0,43.0
Days Payable,79.0,60.0,60.0,58.0,71.0
Cash Conversion Cycle,49.0,47.0,57.0,80.0,56.0
Working Capital Days,56.0,46.0,62.0,82.0,54.0
ROCE %,19.0,21.0,20.0,19.0,
