metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,101.0,145.0,142.0,126.0,123.0
Inventory Days,221.0,301.0,411.0,356.0,326.0
Days Payable,95.0,99.0,124.0,114.0,120.0
Cash Conversion Cycle,227.0,348.0,429.0,367.0,330.0
Working Capital Days,82.0,268.0,279.0,238.0,160.0
ROCE %,18.0,7.0,10.0,12.0,
