metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,69.0,99.0,122.0,115.0,99.0,89.0,98.0,89.0,84.0,99.0,103.0,106.0
Inventory Days,123.0,150.0,226.0,263.0,235.0,199.0,254.0,229.0,193.0,186.0,197.0,216.0
Days Payable,56.0,78.0,144.0,195.0,171.0,124.0,176.0,168.0,154.0,176.0,191.0,193.0
Cash Conversion Cycle,136.0,171.0,205.0,183.0,163.0,165.0,177.0,150.0,122.0,108.0,109.0,129.0
Working Capital Days,-61.0,-30.0,-22.0,-12.0,-8.0,-8.0,17.0,39.0,51.0,52.0,48.0,56.0
ROCE %,-3.0,15.0,15.0,18.0,20.0,21.0,14.0,25.0,20.0,28.0,26.0,26.0
