metric,Mar 2015,Mar 2016,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,100.0,53.0,29.0,34.0,61.0,55.0,57.0,60.0,69.0,51.0
Inventory Days,,,,,,,,,,
Days Payable,,,,,,,,,,
Cash Conversion Cycle,100.0,53.0,29.0,34.0,61.0,55.0,57.0,60.0,69.0,51.0
Working Capital Days,12.0,-83.0,195.0,116.0,289.0,162.0,61.0,-18.0,-119.0,-55.0
ROCE %,-101.0,-34.0,-21.0,-22.0,-12.0,-8.0,-10.0,5.0,,
