metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,45.0,19.0,20.0,11.0,9.0,12.0,14.0,11.0,11.0
Inventory Days,114.0,135.0,160.0,122.0,150.0,128.0,119.0,116.0,109.0
Days Payable,123.0,100.0,113.0,77.0,62.0,34.0,39.0,52.0,49.0
Cash Conversion Cycle,35.0,54.0,68.0,56.0,97.0,106.0,94.0,75.0,71.0
Working Capital Days,0.0,-16.0,-5.0,3.0,67.0,40.0,10.0,14.0,4.0
ROCE %,-1.0,5.0,13.0,7.0,6.0,7.0,10.0,17.0,
