metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,199.0,14.0,71.0,8.0,9.0,15.0,15.0,14.0
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,199.0,14.0,71.0,8.0,9.0,15.0,15.0,14.0
Working Capital Days,-49.0,-123.0,-179.0,-46.0,-34.0,-23.0,-25.0,102.0
ROCE %,-126.0,13.0,-9.0,8.0,7.0,13.0,7.0,
