metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,43.0,37.0,51.0,43.0
Inventory Days,42.0,31.0,31.0,35.0
Days Payable,100.0,86.0,101.0,108.0
Cash Conversion Cycle,-16.0,-18.0,-18.0,-30.0
Working Capital Days,-9.0,-7.0,-8.0,-4.0
ROCE %,52.0,57.0,61.0,
