metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,39.0,39.0,38.0,45.0,45.0,34.0,35.0,68.0,67.0,67.0,73.0,96.0
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,39.0,39.0,38.0,45.0,45.0,34.0,35.0,68.0,67.0,67.0,73.0,96.0
Working Capital Days,-5.0,20.0,29.0,21.0,19.0,6.0,15.0,13.0,19.0,-27.0,-22.0,12.0
ROCE %,16.0,15.0,18.0,19.0,24.0,26.0,25.0,27.0,29.0,24.0,23.0,23.0
