metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,75.0,83.0,107.0,82.0,101.0,102.0,93.0,102.0
Inventory Days,234.0,211.0,293.0,237.0,223.0,225.0,224.0,237.0
Days Payable,142.0,133.0,188.0,184.0,175.0,193.0,172.0,175.0
Cash Conversion Cycle,167.0,161.0,212.0,135.0,148.0,134.0,145.0,163.0
Working Capital Days,-15.0,-28.0,-16.0,9.0,22.0,28.0,76.0,62.0
ROCE %,11.0,22.0,26.0,21.0,19.0,21.0,24.0,
