metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,37.0,47.0,36.0,30.0,28.0,24.0,30.0,26.0,31.0
Inventory Days,34.0,30.0,39.0,45.0,52.0,39.0,44.0,50.0,41.0
Days Payable,37.0,42.0,42.0,45.0,38.0,38.0,45.0,38.0,38.0
Cash Conversion Cycle,33.0,35.0,33.0,30.0,42.0,26.0,29.0,38.0,34.0
Working Capital Days,4.0,14.0,7.0,23.0,19.0,13.0,8.0,12.0,18.0
ROCE %,15.0,12.0,21.0,14.0,21.0,25.0,18.0,14.0,
