metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,54.0,53.0,53.0,55.0,51.0,54.0,69.0,63.0,60.0,62.0,63.0,67.0
Inventory Days,95.0,90.0,123.0,107.0,132.0,127.0,158.0,153.0,134.0,136.0,133.0,119.0
Days Payable,56.0,85.0,98.0,90.0,82.0,75.0,120.0,92.0,79.0,88.0,88.0,91.0
Cash Conversion Cycle,93.0,58.0,78.0,72.0,101.0,106.0,107.0,123.0,115.0,110.0,109.0,95.0
Working Capital Days,51.0,48.0,80.0,64.0,73.0,74.0,82.0,91.0,81.0,77.0,82.0,69.0
ROCE %,25.0,25.0,26.0,25.0,20.0,18.0,17.0,11.0,14.0,17.0,13.0,12.0
