metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,90.0,48.0,31.0,46.0,50.0,52.0,29.0,17.0,31.0
Inventory Days,98.0,70.0,65.0,139.0,67.0,122.0,216.0,323.0,379.0
Days Payable,83.0,84.0,85.0,130.0,38.0,71.0,98.0,86.0,159.0
Cash Conversion Cycle,104.0,34.0,10.0,54.0,79.0,103.0,147.0,255.0,250.0
Working Capital Days,-114.0,-27.0,9.0,-8.0,-95.0,-423.0,-168.0,-55.0,17.0
ROCE %,22.0,25.0,20.0,17.0,8.0,21.0,20.0,16.0,
