metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,50.0,46.0,37.0,35.0,40.0,36.0,36.0,32.0,49.0
Inventory Days,40.0,42.0,55.0,58.0,71.0,58.0,61.0,61.0,49.0
Days Payable,100.0,79.0,77.0,92.0,100.0,81.0,96.0,97.0,122.0
Cash Conversion Cycle,-11.0,9.0,16.0,1.0,12.0,13.0,1.0,-3.0,-24.0
Working Capital Days,-2.0,-14.0,6.0,-2.0,-102.0,-7.0,-15.0,-16.0,36.0
ROCE %,39.0,35.0,35.0,22.0,16.0,16.0,19.0,18.0,
