metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,61.0,65.0,74.0,75.0,68.0,60.0,55.0,65.0
Inventory Days,126.0,140.0,138.0,117.0,133.0,126.0,147.0,169.0
Days Payable,97.0,101.0,125.0,112.0,105.0,107.0,107.0,136.0
Cash Conversion Cycle,90.0,104.0,87.0,80.0,96.0,79.0,96.0,98.0
Working Capital Days,-8.0,-30.0,-7.0,1.0,6.0,-5.0,56.0,39.0
ROCE %,10.0,13.0,14.0,14.0,16.0,13.0,14.0,
