metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,66.0,0.0,4.0,74.0,6.0,70.0,2.0,1.0
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,66.0,0.0,4.0,74.0,6.0,70.0,2.0,1.0
Working Capital Days,-371.0,-327.0,-402.0,-724.0,-540.0,-501.0,-485.0,539.0
ROCE %,56.0,55.0,61.0,50.0,50.0,53.0,51.0,
