nse_symbol,status
AADHARHFC,ok:consolidated:rows=1:cols=8:wc_present=0/6
AARTIDRUGS,ok:consolidated:rows=6:cols=12:wc_present=6/6
AARTIIND,ok:consolidated:rows=6:cols=12:wc_present=6/6
AARTIPHARM,ok:consolidated:rows=6:cols=6:wc_present=6/6
AAVAS,ok:consolidated:rows=1:cols=7:wc_present=0/6
ABB,ok:consolidated:rows=6:cols=4:wc_present=6/6
ABBOTINDIA,ok:standalone:rows=6:cols=12:wc_present=6/6
ABCAPITAL,ok:consolidated:rows=1:cols=12:wc_present=0/6
ABDL,ok:consolidated:rows=6:cols=7:wc_present=6/6
ABFRL,ok:consolidated:rows=6:cols=8:wc_present=6/6
ABLBL,ok:consolidated:rows=6:cols=2:wc_present=6/6
ABREL,ok:consolidated:rows=6:cols=10:wc_present=6/6
ABSLAMC,ok:consolidated:rows=6:cols=10:wc_present=6/6
ACC,ok:consolidated:rows=6:cols=12:wc_present=6/6
ACE,ok:consolidated:rows=6:cols=12:wc_present=6/6
ACI,ok:consolidated:rows=6:cols=6:wc_present=6/6
ACMESOLAR,ok:consolidated:rows=6:cols=7:wc_present=6/6
ACUTAAS,ok:consolidated:rows=6:cols=10:wc_present=6/6
ADANIENSOL,ok:consolidated:rows=6:cols=12:wc_present=6/6
ADANIENT,ok:consolidated:rows=6:cols=12:wc_present=6/6
ADANIGREEN,ok:consolidated:rows=6:cols=11:wc_present=6/6
ADANIPORTS,ok:consolidated:rows=6:cols=12:wc_present=6/6
ADANIPOWER,ok:consolidated:rows=6:cols=12:wc_present=6/6
ADVENZYMES,ok:consolidated:rows=6:cols=12:wc_present=6/6
AEGISLOG,ok:consolidated:rows=6:cols=12:wc_present=6/6
AEGISVOPAK,ok:consolidated:rows=6:cols=5:wc_present=6/6
AEQUS,ok:consolidated:rows=6:cols=4:wc_present=6/6
AETHER,ok:consolidated:rows=6:cols=5:wc_present=6/6
AFCONS,ok:consolidated:rows=6:cols=7:wc_present=6/6
AFFLE,ok:consolidated:rows=6:cols=9:wc_present=6/6
AGARWALEYE,ok:consolidated:rows=6:cols=7:wc_present=6/6
AHLUCONT,ok:consolidated:rows=6:cols=12:wc_present=6/6
AIAENG,ok:consolidated:rows=6:cols=12:wc_present=6/6
AIIL,ok:consolidated:rows=1:cols=4:wc_present=0/6
AJANTPHARM,ok:consolidated:rows=6:cols=12:wc_present=6/6
AKUMS,ok:consolidated:rows=6:cols=9:wc_present=6/6
ALIVUS,ok:consolidated:rows=6:cols=3:wc_present=6/6
ALKEM,ok:consolidated:rows=6:cols=12:wc_present=6/6
ALKYLAMINE,ok:consolidated:rows=6:cols=12:wc_present=6/6
ALOKINDS,ok:consolidated:rows=6:cols=12:wc_present=6/6
AMBER,ok:consolidated:rows=6:cols=12:wc_present=6/6
AMBUJACEM,ok:consolidated:rows=6:cols=12:wc_present=6/6
ANANDRATHI,ok:consolidated:rows=6:cols=8:wc_present=6/6
ANANTRAJ,ok:consolidated:rows=6:cols=12:wc_present=6/6
ANGELONE,ok:consolidated:rows=6:cols=12:wc_present=6/6
ANTHEM,ok:consolidated:rows=6:cols=7:wc_present=6/6
ANUP,ok:consolidated:rows=6:cols=6:wc_present=6/6
ANURAS,ok:consolidated:rows=6:cols=8:wc_present=6/6
APARINDS,ok:consolidated:rows=6:cols=12:wc_present=6/6
APLAPOLLO,ok:consolidated:rows=6:cols=12:wc_present=6/6
APLLTD,ok:consolidated:rows=6:cols=12:wc_present=6/6
APOLLO,ok:consolidated:rows=6:cols=7:wc_present=6/6
APOLLOHOSP,ok:consolidated:rows=6:cols=12:wc_present=6/6
APOLLOTYRE,ok:consolidated:rows=6:cols=12:wc_present=6/6
APTUS,ok:consolidated:rows=1:cols=10:wc_present=0/6
ARVIND,ok:consolidated:rows=6:cols=12:wc_present=6/6
ARVINDFASN,ok:consolidated:rows=6:cols=10:wc_present=6/6
ASAHIINDIA,ok:consolidated:rows=6:cols=12:wc_present=6/6
ASHAPURMIN,ok:consolidated:rows=6:cols=12:wc_present=6/6
ASHOKA,ok:consolidated:rows=6:cols=12:wc_present=6/6
ASHOKLEY,ok:consolidated:rows=6:cols=12:wc_present=6/6
ASIANPAINT,ok:consolidated:rows=6:cols=12:wc_present=6/6
ASKAUTOLTD,ok:consolidated:rows=6:cols=8:wc_present=6/6
ASTERDM,ok:consolidated:rows=6:cols=12:wc_present=6/6
ASTRAL,ok:consolidated:rows=6:cols=12:wc_present=6/6
ASTRAMICRO,ok:consolidated:rows=6:cols=12:wc_present=6/6
ATGL,ok:consolidated:rows=6:cols=9:wc_present=6/6
ATHERENERG,ok:standalone:rows=6:cols=7:wc_present=6/6
ATLANTAELE,ok:consolidated:rows=6:cols=6:wc_present=6/6
ATUL,ok:consolidated:rows=6:cols=12:wc_present=6/6
AUBANK,ok:consolidated:rows=1:cols=4:wc_present=0/6
AURIONPRO,ok:consolidated:rows=6:cols=12:wc_present=6/6
AUROPHARMA,ok:consolidated:rows=6:cols=12:wc_present=6/6
AVALON,ok:consolidated:rows=6:cols=7:wc_present=6/6
AVANTIFEED,ok:consolidated:rows=6:cols=12:wc_present=6/6
AVL,ok:standalone:rows=6:cols=12:wc_present=6/6
AWFIS,ok:consolidated:rows=6:cols=8:wc_present=6/6
AWL,ok:consolidated:rows=6:cols=8:wc_present=6/6
AXISBANK,ok:consolidated:rows=1:cols=12:wc_present=0/6
AXISCADES,ok:consolidated:rows=6:cols=12:wc_present=6/6
AZAD,ok:consolidated:rows=6:cols=6:wc_present=6/6
BAJAJ-AUTO,ok:consolidated:rows=6:cols=12:wc_present=6/6
BAJAJELEC,ok:consolidated:rows=6:cols=11:wc_present=6/6
BAJAJFINSV,ok:consolidated:rows=6:cols=12:wc_present=6/6
BAJAJHFL,ok:standalone:rows=1:cols=7:wc_present=0/6
BAJAJHLDNG,ok:consolidated:rows=6:cols=12:wc_present=6/6
BAJFINANCE,ok:consolidated:rows=1:cols=12:wc_present=0/6
BALAMINES,ok:consolidated:rows=6:cols=12:wc_present=6/6
BALKRISIND,ok:consolidated:rows=6:cols=12:wc_present=6/6
BALRAMCHIN,ok:consolidated:rows=6:cols=12:wc_present=6/6
BALUFORGE,ok:consolidated:rows=6:cols=6:wc_present=6/6
BANCOINDIA,ok:consolidated:rows=6:cols=12:wc_present=6/6
BANDHANBNK,ok:standalone:rows=1:cols=12:wc_present=0/6
BANKBARODA,ok:consolidated:rows=1:cols=12:wc_present=0/6
BANKINDIA,ok:consolidated:rows=1:cols=12:wc_present=0/6
BATAINDIA,ok:consolidated:rows=6:cols=12:wc_present=6/6
BAYERCROP,ok:consolidated:rows=6:cols=2:wc_present=6/6
BBOX,ok:consolidated:rows=6:cols=12:wc_present=6/6
BBTC,ok:consolidated:rows=6:cols=12:wc_present=6/6
BDL,ok:standalone:rows=6:cols=12:wc_present=6/6
BECTORFOOD,ok:consolidated:rows=6:cols=9:wc_present=6/6
BEL,ok:consolidated:rows=6:cols=12:wc_present=6/6
BELRISE,ok:consolidated:rows=6:cols=5:wc_present=6/6
BEML,ok:consolidated:rows=6:cols=12:wc_present=6/6
BERGEPAINT,ok:consolidated:rows=6:cols=12:wc_present=6/6
BHARATFORG,ok:consolidated:rows=6:cols=12:wc_present=6/6
BHARTIARTL,ok:consolidated:rows=6:cols=12:wc_present=6/6
BHARTIHEXA,ok:standalone:rows=6:cols=8:wc_present=6/6
