metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,30.0,33.0,27.0,27.0,25.0,24.0,7.0,14.0,10.0,10.0,9.0
Inventory Days,39.0,32.0,32.0,41.0,32.0,17.0,27.0,23.0,36.0,37.0,37.0
Days Payable,88.0,68.0,54.0,63.0,58.0,44.0,33.0,34.0,46.0,46.0,42.0
Cash Conversion Cycle,-20.0,-4.0,5.0,5.0,-1.0,-3.0,2.0,4.0,0.0,1.0,4.0
Working Capital Days,-23.0,-17.0,-8.0,-7.0,-9.0,-5.0,-3.0,1.0,-3.0,1.0,2.0
ROCE %,18.0,17.0,18.0,20.0,23.0,32.0,26.0,23.0,34.0,37.0,
