metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,80.0,68.0,58.0,60.0,63.0,70.0
Inventory Days,109.0,110.0,98.0,90.0,106.0,52.0
Days Payable,135.0,83.0,86.0,94.0,80.0,89.0
Cash Conversion Cycle,54.0,96.0,69.0,56.0,88.0,33.0
Working Capital Days,60.0,87.0,59.0,47.0,70.0,44.0
ROCE %,31.0,34.0,29.0,29.0,24.0,
