metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,16.0,11.0,15.0,15.0,12.0,13.0,14.0,13.0
Inventory Days,61.0,57.0,55.0,58.0,53.0,58.0,56.0,45.0
Days Payable,101.0,85.0,60.0,69.0,59.0,56.0,56.0,56.0
Cash Conversion Cycle,-24.0,-17.0,10.0,4.0,6.0,15.0,14.0,1.0
Working Capital Days,-19.0,-18.0,-8.0,-12.0,-6.0,-4.0,9.0,4.0
ROCE %,27.0,21.0,19.0,15.0,10.0,21.0,18.0,
