metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,47.0,59.0,59.0,49.0,43.0,30.0,28.0,42.0,43.0,48.0,52.0
Inventory Days,36.0,43.0,46.0,47.0,44.0,30.0,37.0,44.0,,,
Days Payable,194.0,207.0,215.0,181.0,177.0,167.0,133.0,146.0,,,
Cash Conversion Cycle,-111.0,-105.0,-110.0,-85.0,-91.0,-106.0,-67.0,42.0,43.0,48.0,-50.0
Working Capital Days,11.0,26.0,-333.0,-15.0,-15.0,-31.0,-3.0,8.0,-5.0,-29.0,-35.0
ROCE %,15.0,11.0,5.0,20.0,29.0,34.0,24.0,17.0,15.0,9.0,
