metric,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Debtor Days,95.0,80.0,123.0,94.0,85.0,83.0,73.0,66.0
Inventory Days,2.0,1.0,9.0,0.0,0.0,,,
Days Payable,400.0,549.0,678.0,385.0,,,,
Cash Conversion Cycle,-303.0,80.0,-425.0,-575.0,-300.0,83.0,73.0,66.0
Working Capital Days,52.0,39.0,103.0,15.0,10.0,4.0,22.0,10.0
ROCE %,39.0,28.0,16.0,27.0,22.0,47.0,60.0,
