metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,110.0,144.0,22.0,23.0,27.0,31.0
Inventory Days,109.0,656.0,96.0,104.0,94.0,123.0
Days Payable,256.0,499.0,91.0,80.0,68.0,75.0
Cash Conversion Cycle,-37.0,300.0,27.0,47.0,53.0,80.0
Working Capital Days,-105.0,-522.0,-97.0,-83.0,-70.0,-54.0
ROCE %,1.0,2.0,4.0,5.0,6.0,
