metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,30.0,23.0,25.0,19.0
Inventory Days,112.0,,,
Days Payable,258.0,,,
Cash Conversion Cycle,30.0,23.0,25.0,-128.0
Working Capital Days,-65.0,-1666.0,-76.0,-66.0
ROCE %,30.0,12.0,9.0,
