metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,36.0,36.0,30.0,27.0,27.0,26.0,28.0
Inventory Days,178.0,169.0,144.0,116.0,138.0,181.0,178.0
Days Payable,340.0,452.0,389.0,326.0,355.0,345.0,283.0
Cash Conversion Cycle,-126.0,-247.0,-215.0,-183.0,-190.0,-138.0,-76.0
Working Capital Days,-31.0,-47.0,-50.0,-62.0,-65.0,-44.0,-3.0
ROCE %,-1.0,17.0,13.0,11.0,10.0,11.0,
