metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,163.0,72.0,183.0,146.0,74.0,66.0,79.0
Inventory Days,1378.0,,,,,,
Days Payable,748.0,,,,,,
Cash Conversion Cycle,793.0,72.0,183.0,146.0,74.0,66.0,79.0
Working Capital Days,-912.0,-860.0,-503.0,-277.0,-966.0,-1234.0,-1148.0
ROCE %,17.0,14.0,12.0,17.0,20.0,17.0,
