metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,99.0,92.0,79.0,60.0,69.0,79.0,67.0,71.0,70.0,97.0
Inventory Days,113.0,85.0,77.0,130.0,206.0,172.0,234.0,140.0,205.0,229.0
Days Payable,121.0,112.0,110.0,130.0,145.0,91.0,130.0,98.0,129.0,159.0
Cash Conversion Cycle,91.0,64.0,45.0,61.0,130.0,160.0,171.0,114.0,146.0,167.0
Working Capital Days,-69.0,-50.0,-5.0,-40.0,28.0,117.0,168.0,157.0,144.0,147.0
ROCE %,14.0,37.0,50.0,60.0,43.0,19.0,22.0,27.0,25.0,
