metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,138.0,156.0,203.0,197.0,116.0,99.0,60.0
Inventory Days,,,,,,,
Days Payable,,,,,,,
Cash Conversion Cycle,138.0,156.0,203.0,197.0,116.0,99.0,60.0
Working Capital Days,-97.0,-79.0,81.0,111.0,72.0,-118.0,-432.0
ROCE %,9.0,7.0,7.0,8.0,8.0,9.0,
