metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,85.0,50.0,46.0,56.0,59.0,72.0,32.0,49.0,49.0,37.0,42.0,36.0
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,85.0,50.0,46.0,56.0,59.0,72.0,32.0,49.0,49.0,37.0,42.0,36.0
Working Capital Days,-69.0,-314.0,-83.0,-97.0,-78.0,-141.0,-268.0,-195.0,31.0,45.0,-207.0,-224.0
ROCE %,2.0,2.0,8.0,8.0,7.0,3.0,6.0,11.0,16.0,-2.0,8.0,12.0
