metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,90.0,94.0,114.0,80.0,115.0,135.0,129.0
Inventory Days,77.0,79.0,104.0,142.0,147.0,309.0,356.0
Days Payable,70.0,79.0,76.0,77.0,112.0,145.0,113.0
Cash Conversion Cycle,97.0,93.0,142.0,145.0,150.0,298.0,372.0
Working Capital Days,46.0,13.0,30.0,92.0,99.0,144.0,175.0
ROCE %,36.0,36.0,33.0,49.0,36.0,28.0,
