metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,42.0,23.0,34.0,136.0,156.0
Inventory Days,717.0,,,,
Days Payable,33.0,,,,
Cash Conversion Cycle,42.0,23.0,34.0,136.0,840.0
Working Capital Days,1334.0,595.0,45.0,392.0,520.0
ROCE %,8.0,34.0,37.0,21.0,
