metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,68.0,68.0,72.0,79.0,71.0,61.0,46.0,53.0,50.0
Inventory Days,82.0,30.0,18.0,41.0,87.0,141.0,94.0,60.0,56.0
Days Payable,195.0,154.0,156.0,167.0,113.0,109.0,100.0,136.0,138.0
Cash Conversion Cycle,-44.0,-56.0,-66.0,-47.0,45.0,92.0,40.0,-23.0,-32.0
Working Capital Days,-48.0,-103.0,-172.0,-66.0,-43.0,-14.0,-27.0,-51.0,-24.0
ROCE %,17.0,17.0,14.0,13.0,15.0,15.0,14.0,10.0,
