metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,61.0,52.0,55.0,55.0,51.0,61.0,63.0,61.0,68.0,58.0,66.0,71.0
Inventory Days,403.0,358.0,352.0,339.0,363.0,361.0,346.0,402.0,343.0,375.0,378.0,335.0
Days Payable,89.0,68.0,57.0,78.0,46.0,43.0,56.0,60.0,67.0,40.0,41.0,76.0
Cash Conversion Cycle,374.0,342.0,351.0,315.0,369.0,379.0,353.0,404.0,344.0,393.0,403.0,331.0
Working Capital Days,-43.0,3.0,76.0,47.0,72.0,90.0,94.0,116.0,109.0,102.0,112.0,402.0
ROCE %,25.0,36.0,31.0,25.0,24.0,22.0,22.0,16.0,12.0,15.0,13.0,14.0
