metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,3.0,3.0,3.0,4.0,5.0,6.0
Inventory Days,18.0,15.0,16.0,14.0,18.0,15.0
Days Payable,226.0,172.0,133.0,119.0,155.0,132.0
Cash Conversion Cycle,-205.0,-153.0,-114.0,-101.0,-133.0,-111.0
Working Capital Days,-352.0,-107.0,-89.0,-81.0,-93.0,-75.0
ROCE %,-8.0,-7.0,-5.0,-3.0,-0.0,
