metric,Mar 2025,Mar 2026
Debtor Days,62.0,52.0
Inventory Days,235.0,252.0
Days Payable,237.0,246.0
Cash Conversion Cycle,60.0,59.0
Working Capital Days,-16.0,8.0
ROCE %,15.0,
