metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
Working Capital Days,-272.0,-241.0,-243.0,-260.0,-277.0,-266.0,-246.0,-289.0,-305.0,-311.0,-305.0,-301.0
ROCE %,84.0,39.0,22.0,19.0,24.0,34.0,28.0,,,,,
