metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,106.0,82.0,90.0,60.0,68.0,69.0,67.0,72.0,68.0,75.0
Inventory Days,236.0,132.0,162.0,135.0,170.0,279.0,311.0,245.0,262.0,235.0
Days Payable,115.0,85.0,95.0,55.0,83.0,138.0,114.0,105.0,134.0,150.0
Cash Conversion Cycle,227.0,129.0,157.0,139.0,155.0,209.0,264.0,212.0,197.0,160.0
Working Capital Days,31.0,20.0,40.0,45.0,65.0,19.0,16.0,37.0,35.0,54.0
ROCE %,13.0,18.0,20.0,12.0,10.0,6.0,12.0,16.0,22.0,
