metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,12.0,12.0,9.0,9.0,22.0
Inventory Days,,,,,
Days Payable,,,,,
Cash Conversion Cycle,12.0,12.0,9.0,9.0,22.0
Working Capital Days,-961.0,-2.0,-434.0,-162.0,-257.0
ROCE %,16.0,24.0,63.0,37.0,
