metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,91.0,99.0,93.0,95.0,94.0,89.0
Inventory Days,218.0,207.0,227.0,269.0,261.0,345.0
Days Payable,163.0,153.0,161.0,190.0,173.0,279.0
Cash Conversion Cycle,147.0,153.0,159.0,174.0,182.0,155.0
Working Capital Days,44.0,36.0,13.0,21.0,60.0,44.0
ROCE %,7.0,2.0,5.0,6.0,3.0,
