metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,7.0,9.0,4.0,2.0,1.0,4.0
Inventory Days,,,,,,
Days Payable,,,,,,
Cash Conversion Cycle,7.0,9.0,4.0,2.0,1.0,4.0
Working Capital Days,-91.0,-36.0,-149.0,-104.0,-95.0,45.0
ROCE %,37.0,50.0,46.0,61.0,70.0,
