metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,8.0,11.0,17.0,14.0,18.0,14.0,8.0,8.0,11.0,13.0,16.0,17.0
Inventory Days,379.0,394.0,339.0,323.0,333.0,208.0,193.0,337.0,234.0,238.0,238.0,246.0
Days Payable,265.0,299.0,324.0,370.0,339.0,231.0,259.0,359.0,198.0,196.0,167.0,227.0
Cash Conversion Cycle,123.0,107.0,32.0,-33.0,13.0,-9.0,-58.0,-14.0,46.0,56.0,86.0,37.0
Working Capital Days,-61.0,-65.0,-67.0,-62.0,-34.0,-56.0,-80.0,-74.0,45.0,8.0,-25.0,-3.0
ROCE %,18.0,11.0,11.0,12.0,12.0,14.0,14.0,17.0,12.0,13.0,11.0,6.0
