metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,30.0,15.0,7.0,18.0
Inventory Days,45.0,50.0,38.0,62.0
Days Payable,4.0,2.0,6.0,14.0
Cash Conversion Cycle,71.0,63.0,39.0,66.0
Working Capital Days,17.0,8.0,15.0,43.0
ROCE %,23.0,27.0,25.0,
