metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,0.0,0.0,0.0,0.0,1.0,2.0,1.0
Inventory Days,106.0,110.0,111.0,98.0,83.0,88.0,80.0
Days Payable,102.0,144.0,133.0,99.0,69.0,70.0,64.0
Cash Conversion Cycle,4.0,-34.0,-22.0,-0.0,15.0,20.0,17.0
Working Capital Days,-17.0,-38.0,-40.0,-16.0,1.0,-3.0,27.0
ROCE %,8.0,8.0,9.0,11.0,13.0,15.0,
