metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,20.0,12.0,7.0,12.0,9.0,7.0,7.0,9.0,11.0,11.0
Inventory Days,,,,,,,,,,
Days Payable,,,,,,,,,,
Cash Conversion Cycle,20.0,12.0,7.0,12.0,9.0,7.0,7.0,9.0,11.0,11.0
Working Capital Days,-18.0,-10.0,7.0,-1.0,-25.0,-5.0,11.0,-2.0,-5.0,-26.0
ROCE %,49.0,52.0,50.0,45.0,45.0,33.0,35.0,36.0,32.0,
