metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,27.0,11.0,12.0,13.0
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,27.0,11.0,12.0,13.0
Working Capital Days,-4.0,-18.0,-14.0,-16.0
ROCE %,38.0,43.0,43.0,
