metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,9.0,9.0,31.0,44.0,32.0,32.0,36.0,34.0
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,9.0,9.0,31.0,44.0,32.0,32.0,36.0,34.0
Working Capital Days,-110.0,-74.0,-86.0,-160.0,-107.0,-68.0,-88.0,-98.0
ROCE %,-37.0,-0.0,-2.0,5.0,9.0,13.0,13.0,
